Id,Name,Submitted-At,Started-At,Stopped-At,Op-Info,State,Detailed State
w25,s3-gyc,2018-06-25 19:25:40,2018-06-25 19:25:40,2018-06-25 19:30:48,read,terminated,queuing @ 2018-06-25 19:25:40,processing @ 2018-06-25 19:25:40,terminated @ 2018-06-25 19:30:48
w26,s3-gyc,2018-06-25 19:34:43,2018-06-25 19:34:43,2018-06-25 19:39:51,read,terminated,queuing @ 2018-06-25 19:34:43,processing @ 2018-06-25 19:34:43,terminated @ 2018-06-25 19:39:51
w27,s3-gyc,2018-06-25 19:42:53,2018-06-25 19:42:53,2018-06-25 19:43:31,read,finished,queuing @ 2018-06-25 19:42:53,processing @ 2018-06-25 19:42:53,finished @ 2018-06-25 19:43:31
w28,s3-gyc,2018-06-25 19:45:08,2018-06-25 19:45:08,2018-06-25 19:46:12,cleanup dispose,finished,queuing @ 2018-06-25 19:45:08,processing @ 2018-06-25 19:45:08,finished @ 2018-06-25 19:46:12
w29,s3-gyc,2018-06-25 20:00:04,2018-06-25 20:00:04,2018-06-25 20:10:17,init write,finished,queuing @ 2018-06-25 20:00:04,processing @ 2018-06-25 20:00:04,finished @ 2018-06-25 20:10:17
w30,s3-gyc,2018-06-25 20:12:16,2018-06-25 20:12:16,2018-06-25 20:13:23,cleanup dispose,finished,queuing @ 2018-06-25 20:12:16,processing @ 2018-06-25 20:12:16,finished @ 2018-06-25 20:13:23
w31,s3-gyc,2018-06-25 20:18:05,2018-06-25 20:18:06,2018-06-25 20:20:02,init write,cancelled,queuing @ 2018-06-25 20:18:05,processing @ 2018-06-25 20:18:06,cancelled @ 2018-06-25 20:20:02
w32,s3-gyc,2018-06-25 20:20:18,2018-06-25 20:20:18,2018-06-25 20:21:48,cleanup dispose,cancelled,queuing @ 2018-06-25 20:20:18,processing @ 2018-06-25 20:20:18,cancelled @ 2018-06-25 20:21:48
w33,s3-gyc,2018-06-25 20:23:55,2018-06-25 20:23:55,2018-06-25 20:34:13,init write,finished,queuing @ 2018-06-25 20:23:55,processing @ 2018-06-25 20:23:55,finished @ 2018-06-25 20:34:13
w34,s3-gyc,2018-06-25 20:35:56,2018-06-25 20:35:56,2018-06-25 20:40:59,read,finished,queuing @ 2018-06-25 20:35:56,processing @ 2018-06-25 20:35:56,finished @ 2018-06-25 20:40:59
w35,s3-gyc,2018-06-26 10:17:58,2018-06-26 10:17:58,2018-06-26 10:24:29,init write,cancelled,queuing @ 2018-06-26 10:17:58,processing @ 2018-06-26 10:17:58,cancelled @ 2018-06-26 10:24:29
w36,s3-gyc,2018-06-26 10:25:01,2018-06-26 10:25:01,2018-06-26 10:26:31,cleanup dispose,finished,queuing @ 2018-06-26 10:25:01,processing @ 2018-06-26 10:25:01,finished @ 2018-06-26 10:26:31
w37,s3-gyc,2018-06-26 10:29:09,2018-06-26 10:29:09,2018-06-26 10:39:21,init write,finished,queuing @ 2018-06-26 10:29:09,processing @ 2018-06-26 10:29:09,finished @ 2018-06-26 10:39:21
w38,s3-gyc,2018-06-26 10:46:48,2018-06-26 10:46:48,2018-06-26 10:57:01,init write,finished,queuing @ 2018-06-26 10:46:48,processing @ 2018-06-26 10:46:48,finished @ 2018-06-26 10:57:01
w39,s3-gyc,2018-06-26 10:58:27,2018-06-26 10:58:27,2018-06-26 11:03:30,read,finished,queuing @ 2018-06-26 10:58:27,processing @ 2018-06-26 10:58:27,finished @ 2018-06-26 11:03:30
w40,s3-gyc,2018-06-26 11:04:40,2018-06-26 11:04:40,2018-06-26 11:05:44,cleanup dispose,finished,queuing @ 2018-06-26 11:04:40,processing @ 2018-06-26 11:04:40,finished @ 2018-06-26 11:05:44
w41,s3-gyc,2018-06-26 11:05:53,2018-06-26 11:05:53,2018-06-26 11:16:03,init write,finished,queuing @ 2018-06-26 11:05:53,processing @ 2018-06-26 11:05:53,finished @ 2018-06-26 11:16:03
w42,s3-gyc,2018-06-26 11:17:34,2018-06-26 11:17:34,2018-06-26 11:22:37,read,finished,queuing @ 2018-06-26 11:17:34,processing @ 2018-06-26 11:17:34,finished @ 2018-06-26 11:22:37
w43,s3-gyc,2018-06-26 11:24:33,2018-06-26 11:24:33,2018-06-26 11:25:38,cleanup dispose,finished,queuing @ 2018-06-26 11:24:33,processing @ 2018-06-26 11:24:33,finished @ 2018-06-26 11:25:38
w44,s3-gyc,2018-06-26 11:26:30,2018-06-26 11:26:30,2018-06-26 11:36:45,init write,finished,queuing @ 2018-06-26 11:26:30,processing @ 2018-06-26 11:26:30,finished @ 2018-06-26 11:36:45
w45,s3-gyc,2018-06-26 12:36:14,2018-06-26 12:36:14,2018-06-26 12:41:17,read,finished,queuing @ 2018-06-26 12:36:14,processing @ 2018-06-26 12:36:14,finished @ 2018-06-26 12:41:17
w46,s3-gyc,2018-06-26 12:52:39,2018-06-26 12:52:39,2018-06-26 12:53:45,cleanup dispose,finished,queuing @ 2018-06-26 12:52:39,processing @ 2018-06-26 12:52:39,finished @ 2018-06-26 12:53:45
w47,s3-gyc,2018-06-26 12:56:48,2018-06-26 12:56:48,2018-06-26 13:07:12,init write,finished,queuing @ 2018-06-26 12:56:48,processing @ 2018-06-26 12:56:48,finished @ 2018-06-26 13:07:12
w48,s3-gyc,2018-06-26 13:12:39,2018-06-26 13:12:39,2018-06-26 13:15:47,read,terminated,queuing @ 2018-06-26 13:12:39,processing @ 2018-06-26 13:12:39,terminated @ 2018-06-26 13:15:47
w49,s3-gyc,2018-06-26 13:32:35,2018-06-26 13:32:35,2018-06-26 13:33:13,read,finished,queuing @ 2018-06-26 13:32:35,processing @ 2018-06-26 13:32:35,finished @ 2018-06-26 13:33:13
w50,s3-gyc,2018-06-26 13:36:30,2018-06-26 13:36:30,2018-06-26 13:37:36,cleanup dispose,finished,queuing @ 2018-06-26 13:36:30,processing @ 2018-06-26 13:36:30,finished @ 2018-06-26 13:37:36
w51,s3-gyc,2018-06-26 13:46:17,2018-06-26 13:46:17,2018-06-26 13:48:03,init write,cancelled,queuing @ 2018-06-26 13:46:17,processing @ 2018-06-26 13:46:17,cancelled @ 2018-06-26 13:48:03
w52,s3-gyc,2018-06-26 13:48:13,2018-06-26 13:48:13,2018-06-26 13:49:34,cleanup dispose,cancelled,queuing @ 2018-06-26 13:48:13,processing @ 2018-06-26 13:48:13,cancelled @ 2018-06-26 13:49:34
w53,s3-gyc,2018-06-26 13:56:23,2018-06-26 13:56:23,2018-06-26 14:01:03,init write,cancelled,queuing @ 2018-06-26 13:56:23,processing @ 2018-06-26 13:56:23,cancelled @ 2018-06-26 14:01:03
w54,s3-gyc,2018-06-26 14:12:28,2018-06-26 14:12:28,2018-06-26 14:20:20,init write,cancelled,queuing @ 2018-06-26 14:12:28,processing @ 2018-06-26 14:12:28,cancelled @ 2018-06-26 14:20:20
w55,s3-gyc,2018-06-26 14:25:34,2018-06-26 14:25:34,2018-06-26 14:27:49,init write,cancelled,queuing @ 2018-06-26 14:25:34,processing @ 2018-06-26 14:25:34,cancelled @ 2018-06-26 14:27:49
w56,s3-gyc,2018-06-26 14:27:57,2018-06-26 14:27:57,2018-06-26 14:29:58,cleanup dispose,finished,queuing @ 2018-06-26 14:27:57,processing @ 2018-06-26 14:27:57,finished @ 2018-06-26 14:29:58
w57,s3-gyc,2018-06-26 14:29:58,2018-06-26 14:29:58,2018-06-26 14:40:06,init write,finished,queuing @ 2018-06-26 14:29:58,processing @ 2018-06-26 14:29:58,finished @ 2018-06-26 14:40:06
w58,s3-gyc,2018-06-26 16:00:30,2018-06-26 16:00:30,2018-06-26 16:10:43,init write,finished,queuing @ 2018-06-26 16:00:30,processing @ 2018-06-26 16:00:30,finished @ 2018-06-26 16:10:43
w59,s3-gyc,2018-06-26 16:15:18,2018-06-26 16:15:18,2018-06-26 16:20:21,read,finished,queuing @ 2018-06-26 16:15:18,processing @ 2018-06-26 16:15:18,finished @ 2018-06-26 16:20:21
w60,s3-gyc,2018-06-26 16:20:59,2018-06-26 16:20:59,2018-06-26 16:22:05,cleanup dispose,finished,queuing @ 2018-06-26 16:20:59,processing @ 2018-06-26 16:20:59,finished @ 2018-06-26 16:22:05
w61,s3-gyc,2018-06-26 16:22:13,2018-06-26 16:22:13,2018-06-26 16:32:22,init write,finished,queuing @ 2018-06-26 16:22:13,processing @ 2018-06-26 16:22:13,finished @ 2018-06-26 16:32:22
w62,s3-gyc,2018-06-26 16:33:19,2018-06-26 16:33:19,2018-06-26 16:35:11,init write,cancelled,queuing @ 2018-06-26 16:33:19,processing @ 2018-06-26 16:33:19,cancelled @ 2018-06-26 16:35:11
w63,s3-gyc,2018-06-26 16:35:28,2018-06-26 16:35:28,2018-06-26 16:37:19,cleanup dispose,finished,queuing @ 2018-06-26 16:35:28,processing @ 2018-06-26 16:35:28,finished @ 2018-06-26 16:37:19
w64,s3-gyc,2018-06-26 16:41:28,2018-06-26 16:41:28,2018-06-26 16:41:44,init write,terminated,queuing @ 2018-06-26 16:41:28,processing @ 2018-06-26 16:41:28,terminated @ 2018-06-26 16:41:44
w65,s3-gyc,2018-06-26 16:48:26,2018-06-26 16:48:26,2018-06-26 16:49:05,init write,cancelled,queuing @ 2018-06-26 16:48:26,processing @ 2018-06-26 16:48:26,cancelled @ 2018-06-26 16:49:05
w66,s3-gyc,2018-06-26 16:49:49,2018-06-26 16:49:49,2018-06-26 17:01:12,init write,finished,queuing @ 2018-06-26 16:49:49,processing @ 2018-06-26 16:49:49,finished @ 2018-06-26 17:01:12
w67,s3-gyc,2018-06-26 17:04:15,2018-06-26 17:04:15,2018-06-26 17:09:20,read,finished,queuing @ 2018-06-26 17:04:15,processing @ 2018-06-26 17:04:15,finished @ 2018-06-26 17:09:20
w68,s3-gyc,2018-06-26 17:10:55,2018-06-26 17:10:55,2018-06-26 17:11:16,init write,cancelled,queuing @ 2018-06-26 17:10:55,processing @ 2018-06-26 17:10:55,cancelled @ 2018-06-26 17:11:16
