Id,Op-Name,Op-Count,Byte-Count,Worker-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Config-Info
w93-s2-write-4,write,65763,33670656000,64,583.2,579.45,520,900,1320,1770,2680,10490,109.72,56175538.3,100%,100% cprefix=s3bucket containers=r(2101-2800) objects=r(301-400) sizes=c(512)KB
w93-s2-write-5,write,65419,33494528000,64,586.24,582.49,520,900,1320,1770,2780,10100,109.15,55883475.73,100%,100% cprefix=s3bucket containers=r(2801-3500) objects=r(401-500) sizes=c(512)KB
w93-s2-write-6,write,64761,33157632000,64,591.72,587.98,530,900,1330,1800,2860,9840,108.13,55365046.98,100%,100% cprefix=s3bucket containers=r(3501-4200) objects=r(501-600) sizes=c(512)KB
w94-s1-read-1,read,55931,28636672000,64,342.87,342.29,270,620,920,1200,1750,4940,186.65,95565059.96,100%,100% cprefix=s3bucket containers=r(1-700) objects=r(1-100) timeout=30000
w94-s1-read-2,read,56799,29081088000,64,337.53,337,280,610,890,1150,1610,5280,189.6,97075632.07,100%,100% cprefix=s3bucket containers=r(701-1400) objects=r(101-200) timeout=30000
w94-s1-read-3,read,56212,28780544000,64,341.08,340.51,270,610,940,1210,1580,4330,187.63,96066455.33,100%,100% cprefix=s3bucket containers=r(1401-2100) objects=r(201-300) timeout=30000
w94-s1-read-4,read,58454,29928448000,64,327.81,327.24,280,570,860,1100,1530,5140,195.22,99953398.29,100%,100% cprefix=s3bucket containers=r(2101-2800) objects=r(301-400) timeout=30000
w94-s1-read-5,read,58734,30071808000,64,326.49,325.93,290,580,840,1070,1470,4450,196.01,100357893.07,100%,100% cprefix=s3bucket containers=r(2801-3500) objects=r(401-500) timeout=30000
w94-s1-read-6,read,57005,29186560000,64,336.08,335.54,260,600,930,1170,1660,4500,190.42,97492635.52,100%,100% cprefix=s3bucket containers=r(3501-4200) objects=r(501-600) timeout=30000
w95-s1-init-1,init-write,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-4200)
w95-s2-write-1,write,4144,16576000000,64,9182.56,9099.91,10140,16330,21640,26010,30140,32410,6.97,27877421.8,100%,100% cprefix=s3bucket containers=r(1-700) objects=r(1-100) sizes=c(4)MB
w95-s2-write-2,write,4050,16200000000,64,9390.06,9311.84,10500,16900,22120,27260,30150,32800,6.82,27260986.74,100%,100% cprefix=s3bucket containers=r(701-1400) objects=r(101-200) sizes=c(4)MB
w95-s2-write-3,write,4125,16500000000,64,9213.5,9136.89,9870,16820,22750,28060,30160,30720,6.94,27778976.28,100%,100% cprefix=s3bucket containers=r(1401-2100) objects=r(201-300) sizes=c(4)MB
w95-s2-write-4,write,4088,16352000000,64,9299.61,9220.02,10150,16630,22000,26270,30140,31300,6.88,27523572.7,100%,100% cprefix=s3bucket containers=r(2101-2800) objects=r(301-400) sizes=c(4)MB
w95-s2-write-5,write,4154,16616000000,64,9150.05,9069.19,9930,17100,22300,26420,30140,32310,6.99,27974974.89,100%,100% cprefix=s3bucket containers=r(2801-3500) objects=r(401-500) sizes=c(4)MB
w95-s2-write-6,write,3972,15888000000,64,9571.73,9492.67,10420,17300,23140,28320,30170,31380,6.68,26739699.49,100%,100% cprefix=s3bucket containers=r(3501-4200) objects=r(501-600) sizes=c(4)MB
w96-s1-read-1,read,10339,41356000000,64,1848.29,805.98,1870,2740,3840,5010,7050,11100,34.63,138512525.96,100%,100% cprefix=s3bucket containers=r(1-700) objects=r(1-100) timeout=30000
w96-s1-read-2,read,9648,38592000000,64,1974.17,844.9,1850,2940,4410,5920,8710,14470,32.42,129667132.63,100%,100% cprefix=s3bucket containers=r(701-1400) objects=r(101-200) timeout=30000
w96-s1-read-3,read,9031,36124000000,64,2117.38,876.71,2060,3090,4440,6000,8830,12630,30.23,120903501.91,100%,100% cprefix=s3bucket containers=r(1401-2100) objects=r(201-300) timeout=30000
w96-s1-read-4,read,9575,38300000000,64,1982.86,862.65,1920,2890,4250,5900,9050,13710,32.28,129123532.78,100%,100% cprefix=s3bucket containers=r(2101-2800) objects=r(301-400) timeout=30000
w96-s1-read-5,read,10373,41492000000,64,1838.13,767.95,1720,2650,3790,5330,7880,11650,34.82,139261425.77,100%,100% cprefix=s3bucket containers=r(2801-3500) objects=r(401-500) timeout=30000
w96-s1-read-6,read,8485,33940000000,58,2033.04,851.57,2000,2910,4130,5590,8530,12990,28.53,114102972.62,99.93%,100% cprefix=s3bucket containers=r(3501-4200) objects=r(501-600) timeout=30000
w97-s1-read-1,read,6071,24284000000,64,2094.88,912.58,2030,3330,4510,5810,8040,11880,30.55,122202977.6,100%,100% cprefix=s3bucket containers=r(1-700) objects=r(1-100) timeout=30000
w97-s1-read-2,read,5728,22912000000,64,2215.28,940.49,2330,3420,4780,5670,8150,12100,28.89,115554061.9,100%,100% cprefix=s3bucket containers=r(701-1400) objects=r(101-200) timeout=30000
w97-s1-read-3,read,5325,21300000000,64,2382.53,958.64,2490,3790,4920,6280,8710,12250,26.86,107446758.16,100%,100% cprefix=s3bucket containers=r(1401-2100) objects=r(201-300) timeout=30000
w97-s1-read-4,read,5916,23664000000,64,2144.06,920.53,2130,3370,4700,6050,8820,12370,29.85,119383212.63,100%,100% cprefix=s3bucket containers=r(2101-2800) objects=r(301-400) timeout=30000
w97-s1-read-5,read,6427,25708000000,64,1983.75,855.48,2030,3130,4210,5160,7060,12250,32.26,129049469.25,100%,100% cprefix=s3bucket containers=r(2801-3500) objects=r(401-500) timeout=30000
w97-s1-read-6,read,5393,21572000000,58,2135.51,882.39,2260,3300,4530,5720,8580,12060,27.16,108632872.05,100%,100% cprefix=s3bucket containers=r(3501-4200) objects=r(501-600) timeout=30000
w99-s1-read-1,read,3694,14776000000,64,2054.55,883.92,2200,3110,4070,4750,6440,9820,31.15,124587751.52,100%,100% cprefix=s3bucket containers=r(1-700) objects=r(1-100) timeout=30000
w99-s1-read-2,read,3260,13040000000,64,2333.38,1000.21,2490,3490,4600,5590,8660,13540,27.43,109708942.56,100%,100% cprefix=s3bucket containers=r(701-1400) objects=r(101-200) timeout=30000
w99-s1-read-3,read,3012,12048000000,64,2521.82,1033.75,2580,3970,4920,5590,7730,11380,25.37,101484381.59,100%,100% cprefix=s3bucket containers=r(1401-2100) objects=r(201-300) timeout=30000
w99-s1-read-4,read,3498,13992000000,64,2175.92,965.05,2290,3350,4340,5290,6760,10270,29.41,117633043.83,100%,100% cprefix=s3bucket containers=r(2101-2800) objects=r(301-400) timeout=30000
w99-s1-read-5,read,3285,13140000000,64,2311.48,979.16,2310,3770,4710,5570,7710,10280,27.69,110751718.34,100%,100% cprefix=s3bucket containers=r(2801-3500) objects=r(401-500) timeout=30000
w99-s1-read-6,read,3059,12236000000,64,2493.73,1023.01,2730,4020,4700,6020,7580,11000,25.66,102655718.84,100%,100% cprefix=s3bucket containers=r(3501-4200) objects=r(501-600) timeout=30000
w100-s1-init-1,init-write,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-4200)
w100-s2-write-1,write,441210,1764840000,64,86.91,86.91,20,80,310,510,870,2220,735.54,2942148.98,100%,100% cprefix=s3bucket containers=r(1-700) objects=r(1-100) sizes=c(4)KB
w100-s2-write-2,write,441727,1766908000,64,86.82,86.82,20,50,310,560,890,2070,736.31,2945241.49,100%,100% cprefix=s3bucket containers=r(701-1400) objects=r(101-200) sizes=c(4)KB
w100-s2-write-3,write,440848,1763392000,64,86.97,86.97,20,60,310,540,880,2220,735.02,2940069.37,100%,100% cprefix=s3bucket containers=r(1401-2100) objects=r(201-300) sizes=c(4)KB
w100-s2-write-4,write,441403,1765612000,64,86.87,86.87,20,60,310,540,850,2220,735.91,2943646.23,100%,100% cprefix=s3bucket containers=r(2101-2800) objects=r(301-400) sizes=c(4)KB
w100-s2-write-5,write,441702,1766808000,64,86.81,86.81,20,50,310,530,900,2300,736.42,2945680.2,100%,100% cprefix=s3bucket containers=r(2801-3500) objects=r(401-500) sizes=c(4)KB
w100-s2-write-6,write,441642,1766568000,64,86.82,86.82,20,60,340,520,820,1910,736.33,2945301.91,100%,100% cprefix=s3bucket containers=r(3501-4200) objects=r(501-600) sizes=c(4)KB
w101-s1-read-1,read,434861,1739444000,64,44.14,4.91,50,50,50,50,50,26040,1449.62,5798479.3,100%,100% cprefix=s3bucket containers=r(1-700) objects=r(1-100) timeout=30000
w101-s1-read-2,read,434869,1739476000,64,44.14,4.9,50,50,50,50,50,26020,1449.66,5798626.49,100%,100% cprefix=s3bucket containers=r(701-1400) objects=r(101-200) timeout=30000
w101-s1-read-3,read,434831,1739324000,64,44.15,4.91,50,50,50,50,50,26090,1449.52,5798081.19,100%,100% cprefix=s3bucket containers=r(1401-2100) objects=r(201-300) timeout=30000
w101-s1-read-4,read,434848,1739392000,64,44.14,4.91,50,50,50,50,50,26020,1449.58,5798335.73,100%,100% cprefix=s3bucket containers=r(2101-2800) objects=r(301-400) timeout=30000
w101-s1-read-5,read,434882,1739528000,64,44.14,4.9,50,50,50,50,50,26060,1449.69,5798765.17,100%,100% cprefix=s3bucket containers=r(2801-3500) objects=r(401-500) timeout=30000
w101-s1-read-6,read,434809,1739236000,64,44.15,4.91,50,50,50,50,50,26140,1449.45,5797817.13,100%,100% cprefix=s3bucket containers=r(3501-4200) objects=r(501-600) timeout=30000
w102-s1-init-1,init-write,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-4200)
w102-s2-write-1,write,11,4224000,11,1389,439.09,1360,1470,1550,1560,1560,1560,0.06,21276.28,1.09%,100% cprefix=s3bucket containers=r(701-1400) objects=r(101-200) sizes=c(128)KB
w102-s2-write-2,write,21,8064000,21,1446.86,496.24,1430,1510,1680,1720,1760,1940,0.11,40616.2,1.09%,100% cprefix=s3bucket containers=r(1401-2100) objects=r(201-300) sizes=c(128)KB
w102-s2-write-3,write,10,3840000,10,1406.8,456,1450,1480,1560,1560,1560,1570,0.05,19339.29,1.09%,100% cprefix=s3bucket containers=r(2101-2800) objects=r(301-400) sizes=c(128)KB
w102-s2-write-4,write,22,8448000,22,1447.55,496.41,1440,1480,1550,1660,1770,1820,0.11,42548.11,1.09%,100% cprefix=s3bucket containers=r(2801-3500) objects=r(401-500) sizes=c(128)KB
w102-s2-write-5,write,21,8064000,21,1503.62,552.9,1560,1670,1740,1740,1790,1920,0.11,40617.42,1.09%,100% cprefix=s3bucket containers=r(3501-4200) objects=r(501-600) sizes=c(128)KB
w104-s1-init-1,init-write,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-4200)
w105-s1-init-1,init-write,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-4200)
w105-s2-write-1,write,880,116096000,64,42254.06,30924.19,37380,44640,52580,122480,123220,123310,1.51,200043.17,100%,100% cprefix=s3bucket containers=r(1-700) objects=r(1-100) sizes=c(128)KB
w105-s2-write-2,write,876,116224000,64,42338.04,30976.5,37380,44650,52970,122500,123210,123310,1.51,200560.97,100%,100% cprefix=s3bucket containers=r(701-1400) objects=r(101-200) sizes=c(128)KB
w105-s2-write-3,write,881,116352000,64,42315.22,31599.5,37380,44580,49590,122500,123230,123300,1.51,199899.06,100%,100% cprefix=s3bucket containers=r(1401-2100) objects=r(201-300) sizes=c(128)KB
w105-s2-write-4,write,882,116480000,64,42209.03,31108.9,37370,44510,49590,122490,123210,123290,1.52,200206.99,100%,100% cprefix=s3bucket containers=r(2101-2800) objects=r(301-400) sizes=c(128)KB
w105-s2-write-5,write,882,116608000,64,42196.38,30764.49,37370,43700,50910,122490,123210,123300,1.52,200612.19,100%,100% cprefix=s3bucket containers=r(2801-3500) objects=r(401-500) sizes=c(128)KB
w105-s2-write-6,write,876,117120000,64,42375.38,31413.73,37380,43640,52030,122500,123210,123310,1.51,201913.14,100%,100% cprefix=s3bucket containers=r(3501-4200) objects=r(501-600) sizes=c(128)KB
w106-s1-init-1,init-write,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-4200)
w106-s2-write-1,write,132680,16983040000,64,289.14,288.1,220,420,660,930,1960,6490,221.24,28319023.77,100%,100% cprefix=s3bucket containers=r(1-700) objects=r(1-100) sizes=c(128)KB
w106-s2-write-2,write,134985,17278080000,64,284.2,283.13,220,410,650,900,2020,7120,225.09,28811527.08,100%,100% cprefix=s3bucket containers=r(701-1400) objects=r(101-200) sizes=c(128)KB
w106-s2-write-3,write,133608,17101824000,64,287.12,286.07,220,420,650,910,1880,6650,222.8,28517931.99,100%,100% cprefix=s3bucket containers=r(1401-2100) objects=r(201-300) sizes=c(128)KB
w106-s2-write-4,write,133943,17144704000,64,286.39,285.34,220,420,650,920,2010,8690,223.37,28591345.11,100%,100% cprefix=s3bucket containers=r(2101-2800) objects=r(301-400) sizes=c(128)KB
w106-s2-write-5,write,134404,17203712000,64,285.41,284.37,220,420,650,900,1930,7710,224.13,28689010.01,100%,100% cprefix=s3bucket containers=r(2801-3500) objects=r(401-500) sizes=c(128)KB
w106-s2-write-6,write,133721,17116288000,64,286.9,285.86,220,420,650,920,1940,6150,222.97,28539983.89,100%,100% cprefix=s3bucket containers=r(3501-4200) objects=r(501-600) sizes=c(128)KB
w107-s1-read-1,read,309006,39552768000,64,62.11,61.97,50,100,160,230,380,710,1030.18,131862663.5,100%,100% cprefix=s3bucket containers=r(1-700) objects=r(1-100) timeout=30000
w107-s1-read-2,read,298641,38226048000,64,64.26,64.13,50,110,170,230,390,830,995.61,127438032.68,100%,100% cprefix=s3bucket containers=r(701-1400) objects=r(101-200) timeout=30000
w107-s1-read-3,read,301410,38580480000,64,63.66,63.53,50,110,170,230,360,750,1005.01,128641267.58,100%,100% cprefix=s3bucket containers=r(1401-2100) objects=r(201-300) timeout=30000
w107-s1-read-4,read,313014,40065792000,64,61.31,61.18,50,100,160,210,350,840,1043.54,133572819.24,100%,100% cprefix=s3bucket containers=r(2101-2800) objects=r(301-400) timeout=30000
w107-s1-read-5,read,308298,39462144000,64,62.24,62.11,50,100,170,220,360,1020,1027.98,131581686.14,100%,100% cprefix=s3bucket containers=r(2801-3500) objects=r(401-500) timeout=30000
w107-s1-read-6,read,303787,38884736000,64,63.17,63.03,50,100,170,240,390,740,1012.84,129643139.8,100%,100% cprefix=s3bucket containers=r(3501-4200) objects=r(501-600) timeout=30000
w108-s1-init-1,init-write,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-4200)
w108-s2-write-1,write,55796,14283776000,64,687.66,685.58,570,1040,1590,2220,4030,11150,93.04,23819010.89,100%,100% cprefix=s3bucket containers=r(1-700) objects=r(1-100) sizes=c(256)KB
w108-s2-write-2,write,55312,14159872000,64,693.79,691.73,580,1060,1590,2230,4060,11950,92.22,23609272.39,100%,100% cprefix=s3bucket containers=r(701-1400) objects=r(101-200) sizes=c(256)KB
w108-s2-write-3,write,55115,14109440000,64,696.19,694.13,590,1060,1600,2220,3930,12210,91.91,23527688.96,100%,100% cprefix=s3bucket containers=r(1401-2100) objects=r(201-300) sizes=c(256)KB
w108-s2-write-4,write,56358,14427648000,64,680.93,678.83,560,1030,1560,2220,4080,12360,93.96,24054658.22,100%,100% cprefix=s3bucket containers=r(2101-2800) objects=r(301-400) sizes=c(256)KB
w108-s2-write-5,write,54895,14053120000,64,699.04,696.97,590,1060,1600,2240,4090,10860,91.53,23430975.62,100%,100% cprefix=s3bucket containers=r(2801-3500) objects=r(401-500) sizes=c(256)KB
w108-s2-write-6,write,56190,14384640000,64,682.94,680.81,570,1030,1560,2210,4000,12060,93.69,23983571.95,100%,100% cprefix=s3bucket containers=r(3501-4200) objects=r(501-600) sizes=c(256)KB
w109-s1-read-1,read,144936,37103616000,64,132.35,132.01,90,240,380,500,710,22520,483.51,123777824.07,100%,100% cprefix=s3bucket containers=r(1-700) objects=r(1-100) timeout=30000
w109-s1-read-2,read,139204,35636224000,64,137.85,137.49,70,250,420,530,810,22800,464.2,118836054.3,100%,100% cprefix=s3bucket containers=r(701-1400) objects=r(101-200) timeout=30000
w109-s1-read-3,read,145955,37364480000,64,131.43,131.1,100,230,360,450,680,22430,486.87,124638580.62,100%,100% cprefix=s3bucket containers=r(1401-2100) objects=r(201-300) timeout=30000
w109-s1-read-4,read,151680,38830080000,64,126.46,126.1,80,220,370,480,680,22670,506.01,129538151.55,100%,100% cprefix=s3bucket containers=r(2101-2800) objects=r(301-400) timeout=30000
w109-s1-read-5,read,149723,38329088000,64,128.12,127.78,90,230,360,470,650,22450,499.43,127853707.25,100%,100% cprefix=s3bucket containers=r(2801-3500) objects=r(401-500) timeout=30000
w109-s1-read-6,read,153132,39201792000,64,125.18,124.84,90,220,340,440,650,22400,511.18,130861378.83,100%,100% cprefix=s3bucket containers=r(3501-4200) objects=r(501-600) timeout=30000
w110-s1-init-1,init-write,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-4200)
w110-s2-write-1,write,29666,15188992000,64,1291.42,1286.95,1200,1930,2640,3460,7310,15110,49.55,25369426.55,100%,100% cprefix=s3bucket containers=r(1-700) objects=r(1-100) sizes=c(512)KB
w110-s2-write-2,write,30690,15713280000,64,1248.56,1244.22,1170,1870,2600,3350,6440,16490,51.25,26239861.56,100%,100% cprefix=s3bucket containers=r(701-1400) objects=r(101-200) sizes=c(512)KB
w110-s2-write-3,write,30037,15378944000,64,1275.67,1271.27,1180,1910,2640,3450,7380,14730,50.16,25682672.79,100%,100% cprefix=s3bucket containers=r(1401-2100) objects=r(201-300) sizes=c(512)KB
w110-s2-write-4,write,29337,15020544000,64,1306.38,1301.97,1200,1930,2680,3530,7380,17430,48.98,25078337.25,100%,100% cprefix=s3bucket containers=r(2101-2800) objects=r(301-400) sizes=c(512)KB
w110-s2-write-5,write,30383,15556096000,64,1261.12,1256.72,1170,1900,2640,3440,7020,16310,50.74,25978961.43,100%,100% cprefix=s3bucket containers=r(2801-3500) objects=r(401-500) sizes=c(512)KB
w110-s2-write-6,write,30572,15652864000,64,1253.67,1249.31,1150,1870,2600,3420,6980,16090,51.04,26133269.76,100%,100% cprefix=s3bucket containers=r(3501-4200) objects=r(501-600) sizes=c(512)KB
w111-s1-read-1,read,88131,45123072000,64,217.65,216.74,100,420,720,860,1320,19870,294.01,150532891.48,100%,100% cprefix=s3bucket containers=r(1-700) objects=r(1-100) timeout=30000
w111-s1-read-2,read,90130,46146560000,64,212.84,211.9,110,380,650,800,1480,19880,300.66,153937156.73,100%,100% cprefix=s3bucket containers=r(701-1400) objects=r(101-200) timeout=30000
w111-s1-read-3,read,92891,47560192000,64,206.6,205.68,140,370,610,770,1130,20670,309.75,158589625.75,100%,100% cprefix=s3bucket containers=r(1401-2100) objects=r(201-300) timeout=30000
w111-s1-read-4,read,90626,46400512000,64,211.72,210.84,120,410,670,810,1250,19600,302.24,154748550.32,100%,100% cprefix=s3bucket containers=r(2101-2800) objects=r(301-400) timeout=30000
w111-s1-read-5,read,91000,46592000000,64,210.73,209.79,140,390,590,780,1330,19970,303.67,155478195.05,100%,100% cprefix=s3bucket containers=r(2801-3500) objects=r(401-500) timeout=30000
w111-s1-read-6,read,88246,45181952000,64,217.43,216.57,120,410,660,820,1440,19960,294.3,150682616.82,100%,100% cprefix=s3bucket containers=r(3501-4200) objects=r(501-600) timeout=30000
w112-s1-init-1,init-write,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-4200)
w112-s2-write-1,write,4271,17084000000,64,8849.32,8794.15,9290,12560,15460,18580,23570,30100,7.23,28925324.73,100%,100% cprefix=s3bucket containers=r(1-700) objects=r(1-100) sizes=c(4)MB
w112-s2-write-2,write,3566,14264000000,64,10484.41,10427.85,11960,15990,19090,21150,26310,31470,6.1,24415855.46,100%,100% cprefix=s3bucket containers=r(701-1400) objects=r(101-200) sizes=c(4)MB
w112-s2-write-3,write,3568,14272000000,64,10529.02,10469.69,11660,15700,18930,21530,27510,32730,6.08,24314770.17,100%,100% cprefix=s3bucket containers=r(1401-2100) objects=r(201-300) sizes=c(4)MB
w112-s2-write-4,write,3799,15196000000,64,9948.5,9889.1,11050,15330,17710,19450,23470,28410,6.43,25728549.51,100%,100% cprefix=s3bucket containers=r(2101-2800) objects=r(301-400) sizes=c(4)MB
w112-s2-write-5,write,3462,13848000000,64,10882.72,10826.27,11980,16380,19340,22070,27190,31260,5.88,23522650.29,100%,100% cprefix=s3bucket containers=r(2801-3500) objects=r(401-500) sizes=c(4)MB
w112-s2-write-6,write,3720,14880000000,64,10129.01,10069.48,10750,14830,18150,20740,26320,32120,6.32,25272405.88,100%,100% cprefix=s3bucket containers=r(3501-4200) objects=r(501-600) sizes=c(4)MB
w114-s1-read-1,read,4410,17640000000,64,1724.92,832.35,1720,2800,3440,4510,7220,18270,37.1,148408489.36,100%,100% cprefix=s3bucket containers=r(1-700) objects=r(1-100) timeout=30000
w114-s1-read-2,read,3485,13940000000,49,1665.54,764.41,1700,2610,3310,4000,5580,21850,29.4,117618099.66,99.66%,100% cprefix=s3bucket containers=r(701-1400) objects=r(101-200) timeout=30000
w114-s1-read-3,read,2987,11948000000,53,2097.19,958.29,2180,3500,4330,5340,6910,21990,25.27,101076004.11,100%,100% cprefix=s3bucket containers=r(1401-2100) objects=r(201-300) timeout=30000
w114-s1-read-4,read,4154,16616000000,64,1826.91,874.02,1670,2900,4000,4970,7320,25870,35.02,140098986.66,100%,100% cprefix=s3bucket containers=r(2101-2800) objects=r(301-400) timeout=30000
w114-s1-read-5,read,1061,4244000000,10,1123.82,605.8,700,1690,2800,3900,6290,23000,8.88,35527319.86,97.07%,100% cprefix=s3bucket containers=r(2801-3500) objects=r(401-500) timeout=30000
w114-s1-read-6,read,602,2408000000,6,1194.39,556.66,1380,2470,3340,4180,6480,15850,5.02,20093808.75,100%,100% cprefix=s3bucket containers=r(3501-4200) objects=r(501-600) timeout=30000
w115-s1-read-1,read,3585,14340000000,64,2129.97,934.5,2050,3160,4500,5510,8540,12870,30.05,120182820.43,100%,100% cprefix=s3bucket containers=r(1-700) objects=r(1-100) timeout=30000
w115-s1-read-2,read,3151,12604000000,52,1969.77,888.92,1880,2930,4130,5190,8100,13200,26.4,105586509.27,100%,100% cprefix=s3bucket containers=r(701-1400) objects=r(101-200) timeout=30000
w115-s1-read-3,read,3075,12300000000,53,2055.45,942.82,2020,3190,4240,5490,8260,13740,25.78,103126616.85,100%,100% cprefix=s3bucket containers=r(1401-2100) objects=r(201-300) timeout=30000
w115-s1-read-4,read,3819,15276000000,64,1998.01,913.19,1870,3180,4310,5380,7600,10170,32.03,128116396.5,100%,100% cprefix=s3bucket containers=r(2101-2800) objects=r(301-400) timeout=30000
w115-s1-read-5,read,3244,12976000000,56,2054.68,953.46,2050,3160,3980,5310,7540,10480,27.25,109008472,100%,100% cprefix=s3bucket containers=r(2801-3500) objects=r(401-500) timeout=30000
w115-s1-read-6,read,3674,14696000000,64,2073.16,980.49,1860,2830,4350,5990,8870,15810,30.87,123476647.84,100%,100% cprefix=s3bucket containers=r(3501-4200) objects=r(501-600) timeout=30000
w116-s1-read-1,read,1930,7720000000,128,3007.6,1399.23,3070,4190,4980,5600,7150,8140,33.25,133002060.35,100%,100% cprefix=s3bucket containers=r(1-700) objects=r(1-100) timeout=30000
w116-s1-read-2,read,1955,7820000000,128,2976.36,1425.24,2910,4230,5090,5950,7830,9960,33.61,134453417.68,100%,100% cprefix=s3bucket containers=r(701-1400) objects=r(101-200) timeout=30000
w116-s1-read-3,read,1796,7184000000,128,3220.27,1479.43,3170,4450,5730,6770,8520,11330,31.04,124145080.72,100%,100% cprefix=s3bucket containers=r(1401-2100) objects=r(201-300) timeout=30000
w116-s1-read-4,read,1756,7024000000,128,3283.47,1525,3400,4240,5450,6090,8010,9570,30.46,121844282.45,100%,100% cprefix=s3bucket containers=r(2101-2800) objects=r(301-400) timeout=30000
w116-s1-read-5,read,1985,7940000000,128,2928.61,1395.43,2860,4250,5040,6180,7170,10640,34.15,136582241.91,100%,100% cprefix=s3bucket containers=r(2801-3500) objects=r(401-500) timeout=30000
w116-s1-read-6,read,1789,7156000000,128,3264.66,1587.13,3190,4610,5550,6450,8490,10720,30.63,122501171.08,100%,100% cprefix=s3bucket containers=r(3501-4200) objects=r(501-600) timeout=30000
w118-s1-read-1,read,18229,72916000000,16,263.14,103.12,210,370,590,910,1660,3410,60.8,243191801.33,100%,100% cprefix=s3bucket containers=r(1-700) objects=r(1-100) timeout=30000
w118-s1-read-2,read,18323,73292000000,16,261.8,104.28,210,360,560,900,1900,4230,61.11,244433458.5,100%,100% cprefix=s3bucket containers=r(2101-2800) objects=r(301-400) timeout=30000
w119-s1-read-1,read,23908,95632000000,16,200.7,77.51,160,250,400,590,1300,3970,79.71,318844913.07,100%,100% cprefix=s3bucket containers=r(1-700) objects=r(1-100) timeout=30000
w119-s1-read-2,read,24157,96628000000,16,198.64,76.61,160,250,390,560,1380,3700,80.54,322148291.38,100%,100% cprefix=s3bucket containers=r(2101-2800) objects=r(301-400) timeout=30000
w120-s1-init-1,init-write,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-4200)
w120-s2-write-1,write,2699,10796000000,64,13935.25,13873.08,15060,18280,21440,24830,30070,30080,4.59,18370540.1,100%,100% cprefix=s3bucket containers=r(1-700) objects=r(1-100) sizes=c(4)MB
