Id,Op-Name,Op-Count,Byte-Count,Worker-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Config-Info
w66-s1-init-1,init-write,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-4200)
w66-s2-write-1,write,223994,28671232000,64,171.25,170.12,140,260,390,550,900,3430,373.43,47799241.33,100%,100% cprefix=s3bucket containers=r(1-700) objects=r(1-100) sizes=c(128)KB
w66-s2-write-2,write,223131,28560768000,64,171.89,170.75,140,260,400,560,920,3400,372.03,47619630.03,100%,100% cprefix=s3bucket containers=r(701-1400) objects=r(101-200) sizes=c(128)KB
w66-s2-write-3,write,227697,29145216000,64,168.45,167.32,140,250,390,550,900,3380,379.63,48593137.58,100%,100% cprefix=s3bucket containers=r(1401-2100) objects=r(201-300) sizes=c(128)KB
w66-s2-write-4,write,223819,28648832000,64,171.38,170.25,140,260,400,560,920,3560,373.14,47762258.4,100%,100% cprefix=s3bucket containers=r(2101-2800) objects=r(301-400) sizes=c(128)KB
w66-s2-write-5,write,218262,27937536000,64,175.73,174.61,140,260,410,570,930,3400,363.91,46579924.38,100%,100% cprefix=s3bucket containers=r(2801-3500) objects=r(401-500) sizes=c(128)KB
w66-s2-write-6,write,225863,28910464000,64,169.8,168.67,140,260,390,550,880,3410,376.6,48204425.23,100%,100% cprefix=s3bucket containers=r(3501-4200) objects=r(501-600) sizes=c(128)KB
w67-s1-read-1,read,404366,51758848000,64,47.45,47.29,40,70,120,170,330,7180,1348.13,172560981.12,100%,100% cprefix=s3bucket containers=r(1-700) objects=r(1-100) timeout=30000
w67-s1-read-2,read,271032,34692096000,64,70.81,70.44,60,120,180,240,410,7170,903.58,115658856.06,100%,100% cprefix=s3bucket containers=r(701-1400) objects=r(101-200) timeout=30000
w67-s1-read-3,read,278927,35702656000,64,68.81,68.43,60,120,170,220,360,7220,929.88,119025247.35,100%,100% cprefix=s3bucket containers=r(1401-2100) objects=r(201-300) timeout=30000
w67-s1-read-4,read,277301,35494528000,64,69.21,68.82,60,120,170,220,360,7140,924.53,118339792.7,100%,100% cprefix=s3bucket containers=r(2101-2800) objects=r(301-400) timeout=30000
w67-s1-read-5,read,270682,34647296000,64,70.9,70.5,60,120,180,240,380,7240,902.47,115515947.05,100%,100% cprefix=s3bucket containers=r(2801-3500) objects=r(401-500) timeout=30000
w67-s1-read-6,read,261146,33426688000,64,73.49,73.1,60,130,190,250,410,7240,870.64,111441458.92,100%,100% cprefix=s3bucket containers=r(3501-4200) objects=r(501-600) timeout=30000
w68-s1-init-1,init-write,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-4200)
w69-s1-cleanup-1,cleanup-delete,2520000,0,128,6.44,6.44,10,10,10,10,20,122310,20689.18,0,100%,100% cprefix=s3bucket containers=r(1-4200) objects=r(1-600) cprefix=s3bucket containers=r(1-4200) objects=r(1-600) cprefix=s3bucket containers=r(1-4200) objects=r(1-600) cprefix=s3bucket containers=r(1-4200) objects=r(1-600) cprefix=s3bucket containers=r(1-4200) objects=r(1-600) cprefix=s3bucket containers=r(1-4200) objects=r(1-600) cprefix=s3bucket containers=r(1-4200) objects=r(1-600) deleteContainer=false cprefix=s3bucket containers=r(1-4200) objects=r(1-600)
w69-s2-dispose-1,dispose-delete,0,0,128,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-4200)
w70-s1-init-1,init-write,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-4200)
w70-s2-write-1,write,329358,1317432000,64,116.38,116.38,40,60,130,880,1590,2840,549.42,2197682.46,100%,100% cprefix=s3bucket containers=r(1-700) objects=r(1-100) sizes=c(4)KB
w70-s2-write-2,write,384711,1538844000,64,99.63,99.63,40,60,100,550,1480,2770,641.68,2566739.84,100%,100% cprefix=s3bucket containers=r(701-1400) objects=r(101-200) sizes=c(4)KB
w70-s2-write-3,write,447355,1789420000,64,85.7,85.7,40,60,100,380,1330,2880,745.87,2983498.01,100%,100% cprefix=s3bucket containers=r(1401-2100) objects=r(201-300) sizes=c(4)KB
w70-s2-write-4,write,398440,1593760000,64,96.21,96.21,40,60,100,510,1440,2620,664.48,2657927.5,100%,100% cprefix=s3bucket containers=r(2101-2800) objects=r(301-400) sizes=c(4)KB
w70-s2-write-5,write,416264,1665056000,64,92.1,92.1,40,60,100,430,1390,2600,694.11,2776429.04,100%,100% cprefix=s3bucket containers=r(2801-3500) objects=r(401-500) sizes=c(4)KB
w70-s2-write-6,write,419583,1678332000,64,91.37,91.37,40,60,100,470,1390,2870,699.62,2798487.43,100%,100% cprefix=s3bucket containers=r(3501-4200) objects=r(501-600) sizes=c(4)KB
w71-s1-init-1,init-write,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-4200)
w72-s1-cleanup-1,cleanup-delete,2520000,0,128,7.58,7.58,10,10,10,10,20,122280,17277.05,0,100%,100% cprefix=s3bucket containers=r(1-4200) objects=r(1-600) cprefix=s3bucket containers=r(1-4200) objects=r(1-600) cprefix=s3bucket containers=r(1-4200) objects=r(1-600) cprefix=s3bucket containers=r(1-4200) objects=r(1-600) cprefix=s3bucket containers=r(1-4200) objects=r(1-600) cprefix=s3bucket containers=r(1-4200) objects=r(1-600) deleteContainer=false cprefix=s3bucket containers=r(1-4200) objects=r(1-600)
w72-s2-dispose-1,dispose-delete,0,0,128,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-4200)
w74-s1-cleanup-1,cleanup-delete,2520000,0,128,19.96,19.96,10,50,50,50,50,122290,6846.71,0,100%,100% cprefix=s3bucket containers=r(1-4200) objects=r(1-600) cprefix=s3bucket containers=r(1-4200) objects=r(1-600) cprefix=s3bucket containers=r(1-4200) objects=r(1-600) cprefix=s3bucket containers=r(1-4200) objects=r(1-600) cprefix=s3bucket containers=r(1-4200) objects=r(1-600) cprefix=s3bucket containers=r(1-4200) objects=r(1-600) deleteContainer=false cprefix=s3bucket containers=r(1-4200) objects=r(1-600)
w74-s2-dispose-1,dispose-delete,0,0,128,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-4200)
w75-s1-init-1,init-write,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-60)
w75-s2-write-1,write,104322,26706432000,64,367.67,365.63,300,570,870,1220,2080,8550,174,44543456.54,100%,100% cprefix=s3bucket containers=r(1-10) objects=r(1-1000) sizes=c(256)KB
w75-s2-write-2,write,105649,27046144000,64,363.01,360.97,300,560,860,1200,1990,9680,176.22,45111860.34,100%,100% cprefix=s3bucket containers=r(11-20) objects=r(1001-2000) sizes=c(256)KB
w75-s2-write-3,write,104568,26769408000,64,366.74,364.7,300,570,870,1210,2060,8990,174.43,44653285.26,100%,100% cprefix=s3bucket containers=r(21-30) objects=r(2001-3000) sizes=c(256)KB
w75-s2-write-4,write,100998,25855488000,64,379.74,377.7,310,590,890,1250,2100,10010,168.47,43127195.53,100%,100% cprefix=s3bucket containers=r(31-40) objects=r(3001-4000) sizes=c(256)KB
w75-s2-write-5,write,106594,27288064000,64,359.82,357.78,300,560,860,1200,1980,10060,177.79,45513789.77,100%,100% cprefix=s3bucket containers=r(41-50) objects=r(4001-5000) sizes=c(256)KB
w75-s2-write-6,write,102727,26298112000,64,373.35,371.31,310,580,880,1220,2050,9900,171.35,43866358.76,100%,100% cprefix=s3bucket containers=r(51-60) objects=r(5001-6000) sizes=c(256)KB
w80-s1-init-1,init-write,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-4200)
w80-s2-write-1,write,502371,2009484000,64,76.31,76.31,20,50,210,470,960,2520,837.57,3350282.31,100%,100% cprefix=s3bucket containers=r(1-700) objects=r(1-100) sizes=c(4)KB
w80-s2-write-2,write,500991,2003964000,64,76.53,76.53,30,60,250,450,830,2220,835.22,3340874.16,100%,100% cprefix=s3bucket containers=r(701-1400) objects=r(101-200) sizes=c(4)KB
w80-s2-write-3,write,502083,2008332000,64,76.36,76.36,20,50,250,460,820,2200,837.03,3348122.58,100%,100% cprefix=s3bucket containers=r(1401-2100) objects=r(201-300) sizes=c(4)KB
w80-s2-write-4,write,498710,1994840000,64,76.86,76.86,20,50,200,480,970,3670,831.54,3326151.66,100%,100% cprefix=s3bucket containers=r(2101-2800) objects=r(301-400) sizes=c(4)KB
w80-s2-write-5,write,502291,2009164000,64,76.32,76.32,30,60,240,450,850,2390,837.44,3349752.83,100%,100% cprefix=s3bucket containers=r(2801-3500) objects=r(401-500) sizes=c(4)KB
w80-s2-write-6,write,505857,2023428000,64,75.78,75.78,20,50,250,460,820,2250,843.4,3373611.19,100%,100% cprefix=s3bucket containers=r(3501-4200) objects=r(501-600) sizes=c(4)KB
w81-s1-read-1,read,451716,1806864000,64,42.34,2.79,50,50,50,50,50,110,1505.81,6023253.62,100%,100% cprefix=s3bucket containers=r(1-700) objects=r(1-100) timeout=30000
w81-s1-read-2,read,451690,1806760000,64,42.34,2.79,50,50,50,50,50,110,1505.72,6022869.64,100%,100% cprefix=s3bucket containers=r(701-1400) objects=r(101-200) timeout=30000
w81-s1-read-3,read,451799,1807196000,64,42.33,2.78,50,50,50,50,50,120,1506.09,6024356.32,100%,100% cprefix=s3bucket containers=r(1401-2100) objects=r(201-300) timeout=30000
w81-s1-read-4,read,451757,1807028000,64,42.34,2.78,50,50,50,50,50,100,1505.95,6023815.02,100%,100% cprefix=s3bucket containers=r(2101-2800) objects=r(301-400) timeout=30000
w81-s1-read-5,read,451753,1807012000,64,42.34,2.78,50,50,50,50,50,110,1505.93,6023732.3,100%,100% cprefix=s3bucket containers=r(2801-3500) objects=r(401-500) timeout=30000
w81-s1-read-6,read,451717,1806868000,64,42.34,2.79,50,50,50,50,50,110,1505.82,6023283.6,100%,100% cprefix=s3bucket containers=r(3501-4200) objects=r(501-600) timeout=30000
w82-s1-init-1,init-write,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-4200)
w82-s2-write-1,write,10,3840000,10,1967.4,1015.3,1980,2030,2040,2040,2040,2060,0.26,98410.82,5.56%,100% cprefix=s3bucket containers=r(2101-2800) objects=r(301-400) sizes=c(128)KB
w83-s1-init-1,init-write,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-4200)
w84-s1-init-1,init-write,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-4200)
w84-s2-write-1,write,239350,30636800000,64,160.21,159.06,120,240,380,550,970,3340,399.1,51084801.5,100%,100% cprefix=s3bucket containers=r(1-700) objects=r(1-100) sizes=c(128)KB
